xmi:type,name,xmi:id,description
,RootElement,_pJ8eYBHQEeaen93uATCTQQ,RootElement
Class,MAIN,_eQ3PwNi0EeaI3IcGROryBQ,MAIN
StateMachine,MAIN,_36PIkNiyEeaI3IcGROryBQ,MAIN
Transition,TransitionSd2UsNi0EeaI3IcGROryBQ,_Sd2UsNi0EeaI3IcGROryBQ,
Transition,TransitionWDBEkNi0EeaI3IcGROryBQ,_WDBEkNi0EeaI3IcGROryBQ,
Pseudostate,PseudostateQJAZsNizEeaI3IcGROryBQ,_QJAZsNizEeaI3IcGROryBQ,
State,MainProgram,_Tefu0NizEeaI3IcGROryBQ,Main_Program
OpaqueBehavior,OpaqueBehaviorOfMainProgram,_HN2AENi0EeaI3IcGROryBQ,PPU(); PPU.stack(); PPU.crane(); PPU.stamp(); PPU.largeSortingConveyor(); PPU.PicAlphaConveoyr(); PPU.SmallSortingConveyor(); PPU.RefillConveyor(); Check_Stack_WPPickedUp := PPU.Crane.Table.AtStack.DI_SwitchTrue AND PPU.Crane.WPPickedUp; Stack_WPProvided := PPU.Stack.WPProvided; Stack_WPType := PPU.Stack.WPType; Stack_WPWeight := PPU.Stack.WPWeight; Check_Stack_WPProvided := Stack_WPProvided; Check_Stack_WPType := Stack_WPType; Check_LargeSortingConveyor_IsSorting := LargeSortingConveyor_IsSorting; Check_LargeSortingConveyor_AutomaticExecuteCompleted := LargeSortingConveyor_AutomaticExecuteCompleted; Check_Stamp_IsStamping := Stamp_IsStamping; Check_Stamp_WPAvailable := Stamp_WPAvailable; Check_Stamp_AutomaticExecuteCompleted := Stamp_AutomaticExecuteCompleted; Check_RefillConveyor_IsSending := RefillConveyor_IsSending; Crane_WPType := PPU.Crane.WPType; Crane_WPWeight := PPU.Crane.WPWeight; Crane_Conveyor_AllowedToOperate := PPU.Crane.Conveyor_AllowedToOperate; Crane_Stamp_AllowedToOperate := PPU.Crane.Stamp_AllowedToOperate; Crane_WPPickedUp := PPU.Crane.Gripper.VacuumSwitch.DI_TakenIn; Check_Stamp_AllowedToOperate := Crane_Stamp_AllowedToOperate; Check_Stamp := Crane_WPWeight; Stamp_WPType := PPU.Stamp.WPType; Stamp_WPWeight := PPU.Stamp.WPWeight; Stamp_IsStamping := PPU.Stamp.IsStamping; Stamp_WPAvailable := PPU.Stamp.WPAvailable.DI_SwitchTrue; Stamp_AutomaticExecuteCompleted := PPU.Stamp.AutomaticExecuteCompleted; Check_LargeSortingConveyor_AllowedToOperate := Crane_Conveyor_AllowedToOperate OR RefillConveyor_FollowConveyor_AllowedToOperate; Check_LargeSortingConveyor_FollowConveyorInitCompleted := PicALphaConveyor_InitCompleted; Check_LargeSortingConveyor_FollowConveyorAutoamticExecuteCompleted := PicALphaConveyor_AutomaticExecuteReceivingCompleted; LargeSortingConveyor_NumberOfWPsAtConveyor := PPU.LargeSortingConveyor.NumberOfWPsAtConveyor; LargeSortingConveyor_FollowConveyor_AllowedToInit := PPU.LargeSortingConveyor.FollowConveyor_AllowedToInit; LargeSortingConveyor_FollowConveyor_AllowedToOperate:= PPU.LargeSortingConveyor.FollowConveyor_AllowedToOperate; LargeSortingConveyor_IsSorting := PPU.LargeSortingConveyor.IsSorting; LargeSortingConveyor_AutomaticExecuteCompleted := PPU.LargeSortingConveyor.AutomaticExecuteCompleted; Check_PicAlphaConveyor_AllowedToInit := LargeSortingConveyor_FollowConveyor_AllowedToInit; Check_PicAlphaConveyor_AllowedToReceive := LargeSortingConveyor_FollowConveyor_AllowedToOperate; Check_PicAlphaConveyor_AllowedToSend := LargeSortingConveyor_NumberOfWPsAtConveyor=3; Check_PicAlphaConveyor_FollowConveyor_InitCompleted := SmallSortingConveyor_InitCompleted; Check_PicAlphaConveyor_FollowConveyor_AutomaticExecuteCompleted := SmallSortingConveyor_AutomaticExecuteCompleted; PicALphaConveyor_InitCompleted := PPU.PicALphaConveyor.InitCompleted; PicALphaConveyor_FollowConveyor_AllowedToInit := PPU.PicALphaConveyor.FollowConveyor_AllowedToInit; PicALphaConveyor_FollowConveyor_AllowedToOperate := PPU.PicALphaConveyor.FollowConveyor_AllowedToOperate; PicALphaConveyor_AutomaticExecuteReceivingCompleted := PPU.PicALphaConveyor.AutomaticExecuteReceivingCompleted; PicALphaConveyor_AutomaticExecuteSendingCompleted := PPU.PicALphaConveyor.AutomaticExecuteSendingCompleted; Check_SmallSortingConveyor_AllowedToInit := PicALphaConveyor_FollowConveyor_AllowedToInit; Check_SmallSortingConveyor_AllowedToOperate := PicALphaConveyor_FollowConveyor_AllowedToOperate; Check_SmallSortingConveyor_FollowConveyor_InitCompleted := RefillConveyor_InitCompleted; Check_SmallSortingConveyor_FollowConveyor_AutomaticExecuteCompleted := RefillConveyor_AutomaticExecuteReceivingCompleted; SmallSortingConveyor_InitCompleted := PPU.SmallSortingConveyor.InitCompleted; SmallSortingConveyor_FollowConveyor_AllowedToInit := PPU.SmallSortingConveyor.FollowConveyor_AllowedToInit; SmallSortingConveyor_FollowConveyor_AllowedToOperate:= PPU.SmallSortingConveyor.FollowConveyor_AllowedToOperate; SmallSortingConveyor_AutomaticExecuteCompleted := PPU.SmallSortingConveyor.AutomaticExecuteCompleted; SmallSortingConveyor_IsSorting := PPU.SmallSortingConveyor.IsSorting; Check_RefillConveyor_AllowedToInit := SmallSortingConveyor_FollowConveyor_AllowedToInit; Check_RefillConveyor_AllowedToReceive := SmallSortingConveyor_FollowConveyor_AllowedToOperate; Check_RefillConveyor_AllowedToSend := NOT Crane_WPPickedUp AND NOT LargeSortingConveyor_IsSorting AND NOT Check_LargeSortingConveyor_AllowedToOperate; Check_RefillConveyor_FollowConveyor_InitCompleted := LargeSortingConveyor_InitCompleted; Check_RefillConveyor_FollowConveyor_AutomaticExecuteCompleted := LargeSortingConveyor_AutomaticExecuteCompleted; RefillConveyor_InitCompleted := PPU.RefillConveyor.InitCompleted; RefillConveyor_FollowConveyor_AllowedToInit := PPU.RefillConveyor.FollowConveyor_AllowedToInit; RefillConveyor_FollowConveyor_AllowedToOperate := PPU.RefillConveyor.FollowConveyor_AllowedToOperate; RefillConveyor_AutomaticExecuteReceivingCompleted := PPU.RefillConveyor.AutomaticExecuteReceivingCompleted; RefillConveyor_IsSending := PPU.RefillConveyor.IsSending; RefillConveyor_AutomaticExecuteSendingCompleted := PPU.RefillConveyor.AutomaticExecuteSendingCompleted;
FinalState,FinalStateUHDuMNi0EeaI3IcGROryBQ,_UHDuMNi0EeaI3IcGROryBQ,
Class,PPU,_2ub-IBHQEeaen93uATCTQQ,PPU
Property,StartButton,_vF8KANgFEeaLleG51tH3Eg,StartButton
Property,InitCompleted,_aJiUwKXBEeaaifhFzThDQw,InitCompleted
Property,AutomaticExecuteCompleted,_095SsLYVEeaPAdOs73iMYQ,AutomaticExecuteCompleted
Property,EmergencyStop,_0mtq8NgFEeaLleG51tH3Eg,EmergencyStop
Property,EmergencyHandled,_b9Eu8KXBEeaaifhFzThDQw,EmergencyHandled
StateMachine,PPUACTAutomaticExecute,_MqflwBHREeaen93uATCTQQ,PPU_ACT_AutomaticExecute
Transition,notstackDIWPAvailable,_mdtwEBzxEeaHnYHMiM-I7Q,[not stack.DI_WPAvailable]
Transition,stackseperatorDIRetracted,_B8KMwBzzEeaHnYHMiM-I7Q,[stack.seperator.DI_Retracted]
Transition,NotAutomaticExecuteCompleted,_91Ek4EmPEea0ovNLUKsTWw,[Not AutomaticExecuteCompleted]
Transition,TRUE,_JaJKkEmQEea0ovNLUKsTWw,[true]
Transition,AutomaticExecuteCompleted,_e7t-IGVGEeaSMugellPalg,[AutomaticExecuteCompleted]
Pseudostate,Pseudostate3wABzwEeaHnYHMiMI7Q,__3w-ABzwEeaHnYHMiM-I7Q,
State,CallAll,_HmjigEmPEea0ovNLUKsTWw,Call_All
OpaqueBehavior,OpaqueBehaviorOfCallAll,_g2uxcLcYEeaSbZaN2J4zjw,EmergencyStop := stack.EmergencyStop OR largeSortingConveyor.EmergencyStop OR stamp.EmergencyStop OR crane.SoftwareEmergency OR stamp.SoftwareEmergency; StartButton := stack.StartButton OR largeSortingConveyor.StartButton OR stamp.StartButton; crane.ACT_AutomaticExecute() AND largeSortingConveyor.ACT_AutomaticExecute()  AND stack.ACT_AutomaticExecute() AND stamp.ACT_AutomaticExecute() AND picAlphaConveyor.ACT_AutomaticExecute() AND smallSortingConveyor.ACT_AutomaticExecute() AND refillConveyor.ACT_AutomaticExecute()
StateMachine,PPUACTInit,_TZ6bsCZ4EeagIsaxH253Xw,PPU_ACT_Init
Transition,TRUE,_WKieUCZ6EeagIsaxH253Xw,[true]
Transition,conveyorPicAlphaInitialized,_tnEaMCZ6EeagIsaxH253Xw,[conveyorPicAlpha.Initialized]
Transition,refillConveyorInitialized,_yI_tQCZ6EeagIsaxH253Xw,[refillConveyor.Initialized]
Transition,largeSortingConveyorInitCompleted,_5WGNICZ6EeagIsaxH253Xw,[largeSortingConveyor.InitCompleted]
